Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Protocol 1,Protocol 2,Protocol 3,Protocol 4,Assay Name,Experimental Condition,Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Comment [Image File Path],Comment [Image File Type],Channels
NCAPH2 2016-08-29 raw,cell0024_R0017.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160829_NCAPH2gfpc67_MitoSys2,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160829_NCAPH2gfpc67_MitoSys2/cell0024_R0017/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-29 conc,cell0024_R0017.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160829_NCAPH2gfpc67_MitoSys2,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160829_NCAPH2gfpc67_MitoSys2/cell0024_R0017/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-29 raw,cell0027_R0006.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160829_NCAPH2gfpc67_MitoSys2,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160829_NCAPH2gfpc67_MitoSys2/cell0027_R0006/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-29 conc,cell0027_R0006.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160829_NCAPH2gfpc67_MitoSys2,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160829_NCAPH2gfpc67_MitoSys2/cell0027_R0006/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 raw,cell0001_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0001_R0001/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 conc,cell0001_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0001_R0001/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 raw,cell0013_R0004.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0013_R0004/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 conc,cell0013_R0004.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0013_R0004/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 raw,cell0016_R0004.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0016_R0004/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 conc,cell0016_R0004.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0016_R0004/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 raw,cell0018_R0007.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0018_R0007/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 conc,cell0018_R0007.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0018_R0007/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 raw,cell0022_R0003.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0022_R0003/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 conc,cell0022_R0003.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0022_R0003/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 raw,cell0023_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0023_R0001/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 conc,cell0023_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0023_R0001/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 raw,cell0025_R0002.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0025_R0002/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-30 conc,cell0025_R0002.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160830_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160830_NCAPH2gfpc67_MitoSys1/cell0025_R0002/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 raw,cell0001_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0001_R0001/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 conc,cell0001_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0001_R0001/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 raw,cell0003_R0002.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0003_R0002/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 conc,cell0003_R0002.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0003_R0002/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 raw,cell0013_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0013_R0001/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 conc,cell0013_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0013_R0001/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 raw,cell0014_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0014_R0001/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 conc,cell0014_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0014_R0001/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 raw,cell0019_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0019_R0001/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 conc,cell0019_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0019_R0001/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 raw,cell0024_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0024_R0001/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 conc,cell0024_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0024_R0001/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 raw,cell0029_R0002.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0029_R0002/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
NCAPH2 2016-08-31 conc,cell0029_R0002.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160831_NCAPH2gfpc67_MitoSys1,Genome-edited cell,ENSG00000025770,NCAPH2,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160831_NCAPH2gfpc67_MitoSys1/cell0029_R0002/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
SMC4 2016-05-10 raw,cell0007_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160510_SMC4gfpz82z68_MitoSys2,Genome-edited cell,ENSG00000113810,SMC4,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160510_SMC4gfpz82z68_MitoSys2/cell0007_R0001/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
SMC4 2016-05-10 conc,cell0007_R0001.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160510_SMC4gfpz82z68_MitoSys2,Genome-edited cell,ENSG00000113810,SMC4,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160510_SMC4gfpz82z68_MitoSys2/cell0007_R0001/conctif,concentration maps,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
SMC4 2016-05-10 raw,cell0009_R0003.companion.ome,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO:0001185,growth protocol,treatment protocol,image acquisition and feature extraction protocol,FCS-calibrated imaging,160510_SMC4gfpz82z68_MitoSys2,Genome-edited cell,ENSG00000113810,SMC4,"Gene identifiers and symbols from GRCh38.p10, Ensembl release 89, May 2017.",mitotic_cell_atlas/160510_SMC4gfpz82z68_MitoSys2/cell0009_R0003/rawtif,original images,490-552:GFP; 587-621:mCherry | 622-695:SiR-DNA; 622-695:Dy-481XL
